Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
810;4656;B2;"converse (with); talk (to)";"causer; s'entretenir";беседовать;;;;;;несовер.;беседовать/побеседовать;;действит.;беседую;беседуешь;беседует;беседуете;беседуем;беседуют;беседуй;беседуйте;беседуя;беседовав;беседующий;беседовавший;беседующий;беседовавший;;
811;4659;B2;"repeat (oneself); recur";se répéter;повторяться;;;;;;несовер.;повторяться/повториться;возврат.;;повторяюсь;повторяешься;повторяется;повторяетесь;повторяемся;повторяются;повторяйся;повторяйтесь;повторяясь;повторявшись;повторяющийся;повторявшийся;повторяющийся;повторявшийся;;
10000;10000;B2;"repeat (oneself); recur";"se répéter; récidiver";повториться;;;;;;совер.;повторяться/повториться;возврат.;;повторюсь;повторишься;повторится;повторитесь;повторимся;повторятся;повторись;повторитесь;;повторившись;;повторившийся;;;;
812;4665;B2;"deny; disclaim";"nier; démentir";отрицать;;;;;;несовер.;;;;отрицаю;отрицаешь;отрицает;отрицаете;отрицаем;отрицают;отрицай;отрицайте;отрицая;отрицав;отрицающий;отрицавший;отрицаемый;;;
813;4666;B2;"stand out (for); be distinguished (by)";"se démarquer; ressortir";выделяться;;;;;;несовер.;выделяться/выделиться;возврат.;;выделяюсь;выделяешься;выделяется;выделяетесь;выделяемся;выделяются;выделяйся;выделяйтесь;выделяясь;выделявшись;выделяющийся;выделявшийся;выделяющийся;выделявшийся;;
10000;10000;B2;"stand out (for); be distinguished (by)";"se démarquer; ressortir";выделиться;;;;;;совер.;выделяться/выделиться;возврат.;;выделюсь;выделишься;выделится;выделитесь;выделимся;выделятся;выделись;выделитесь;;выделившись, выделясь;;выделившийся;;;;
814;4672;B2;display, demonstrate;faire preuve de, démontrer;продемонстрировать;;;;;;несовер.;продемонстрировать/продемнстрировать;;;продемонстрирую;продемонстрируешь;продемонстрирует;продемонстрируете;продемонстрируем;продемонстрируют;продемонстрируй;продемонстрируйте;;продемонстрировав;;продемонстрировавший;;;;
10000;10000;B2;display, demonstrate;faire preuve de, démontrer;продемнстрировать;;;;;;perfective aspect unset;продемнстрировать/продемонстрировать;;;;;;;;;;;;;;;;;;
815;4675;B2;"hide; conceal oneself";"se cacher; se dérober à";прятаться;;;;;;несовер.;прятаться/спрятаться;возврат.;;прячусь;прячешься;прячется;прячетесь;прячемся;прячутся;прячься;прячьтесь;прячась;прятавшись;прячущийся;прятавшийся;прячущийся;прятавшийся;;
10000;10000;B2;"hide; conceal oneself";"se cacher; se tenir caché";спрятаться;;;;;;совер.;прятаться/спрятаться;возврат.;;спрячусь;спрячешься;спрячется;спрячетесь;спрячемся;спрячутся;спрячься;спрячьтесь;;спрятавшись;;спрятавшийся;;;;
816;4679;B2;"let (smb.) have (smth.); cede (to)";"céder; se plier (à)";уступать;;;;;;несовер.;уступать/уступить;;;уступаю;уступаешь;уступает;уступаете;уступаем;уступают;уступай;уступайте;уступая;уступав;уступающий;уступавший;уступаемый;;;
